Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,E8,FALSE,CR2Apal_36C_116,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,Y,Y,N,N,N,N,N,76.963623046875,N,,N,,N,N,
57,E9,FALSE,CR2Apal_36C_116,D,UNKNOWN,FAM,NFQ-MGB,28.479213714599609,28.596609115600586,0.1660221666097641,,,,,,,,FALSE,0.01,TRUE,3,27,Amp,,0.77211463618453391,Y,N,N,Y,N,N,N,75.016937255859375,N,93.119415283203125,N,83.296363830566406,N,N,88.628875732421875
58,E10,FALSE,CR2Apal_36C_116,Apal,UNKNOWN,SYBR,None,19.979181289672852,19.701107025146484,0.39325639605522156,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.57008793759756715,Y,N,N,N,N,N,N,75.016937255859375,N,,N,,N,N,
59,E11,FALSE,CR2Apal_36C_116,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,Y,Y,N,Y,N,N,N,75.148635864257812,N,62.946937561035156,N,91.69805908203125,N,N,88.612579345703125
60,E12,FALSE,CR2Apal_36C_116,D,UNKNOWN,FAM,NFQ-MGB,28.714004516601562,28.596609115600586,0.1660221666097641,,,,,,,,FALSE,0.01,TRUE,3,27,Amp,,0.77433236172727593,Y,N,N,Y,N,N,N,88.472328186035156,N,81.880607604980469,N,74.868133544921875,N,N,93.381057739257812
61,F1,FALSE,CR2Apal_36C_117,Apal,UNKNOWN,SYBR,None,18.528871536254883,18.793054580688477,0.37361124157905579,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.3250833983836528,Y,N,N,N,N,N,N,74.724845886230469,N,,N,,N,N,
62,F2,FALSE,CR2Apal_36C_117,A,UNKNOWN,FAM,NFQ-MGB,33.788578033447266,33.788578033447266,,,,,,,,,FALSE,0.01,TRUE,3,32,Inconclusive,,0.78819242508525666,Y,N,N,Y,N,N,N,76.547744750976562,N,71.219261169433594,N,83.13824462890625,N,N,93.5147705078125
63,F3,FALSE,CR2Apal_36C_117,D,UNKNOWN,FAM,NFQ-MGB,29.579986572265625,28.632099151611328,1.3405139446258545,,,,,,,,FALSE,0.01,TRUE,3,28,Amp,,0.81814068524117278,N,N,Y,Y,N,N,N,74.153785705566406,N,93.7723388671875,N,90.549293518066406,N,N,87.466377258300781
64,F4,FALSE,CR2Apal_36C_117,Apal,UNKNOWN,SYBR,None,19.05723762512207,18.793054580688477,0.37361124157905579,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.42537306063341901,Y,N,N,N,N,N,N,74.854446411132812,N,,N,,N,N,
65,F5,FALSE,CR2Apal_36C_117,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,33.788578033447266,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,Y,Y,N,Y,N,N,N,76.5362548828125,N,87.4652099609375,N,82.981536865234375,N,N,69.950851440429688
66,F6,FALSE,CR2Apal_36C_117,D,UNKNOWN,FAM,NFQ-MGB,27.684213638305664,28.632099151611328,1.3405139446258545,,,,,,,,FALSE,0.01,TRUE,3,25,Amp,,0.63806748872880037,Y,N,Y,Y,N,N,N,75.835678100585938,N,67.008445739746094,N,92.369232177734375,N,N,88.025665283203125
67,F7,FALSE,CR2Apal_36C_NEC1,Apal,UNKNOWN,SYBR,None,29.9285888671875,29.9285888671875,,,,,,,,,FALSE,0.01,TRUE,3,28,Amp,,0.54414423611004237,Y,N,N,N,N,N,N,74.720748901367188,N,,N,,N,N,
68,F8,FALSE,CR2Apal_36C_NEC1,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,23.987707138061523,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,Y,Y,N,Y,N,N,N,88.177978515625,N,76.402900695800781,N,71.7769775390625,N,N,65.468902587890625
69,F9,FALSE,CR2Apal_36C_NEC1,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,Y,Y,N,Y,N,Y,N,75.016937255859375,N,88.207893371582031,N,65.334213256835938,N,N,93.259750366210938
70,F10,FALSE,CR2Apal_36C_NEC1,Apal,UNKNOWN,SYBR,None,Undetermined,29.9285888671875,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,Y,Y,N,Y,N,Y,N,83.436691284179688,N,93.400077819824219,N,89.751510620117188,N,N,74.595947265625
71,F11,FALSE,CR2Apal_36C_NEC1,A,UNKNOWN,FAM,NFQ-MGB,23.987707138061523,23.987707138061523,,,,,,,,,FALSE,0.01,TRUE,3,22,No Amp,,0.36286287554530006,Y,N,N,N,N,N,Y,94.923797607421875,Y,,N,,N,N,
72,F12,FALSE,CR2Apal_36C_NEC1,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,Y,Y,N,Y,N,N,N,77.392623901367188,N,66.032424926757812,N,87.350334167480469,N,N,90.576065063476562
73,G1,FALSE,CR2Apal_36C_NEC2,Apal,UNKNOWN,SYBR,None,30.945920944213867,30.354820251464844,0.83594262599945068,,,,,,,,FALSE,0.01,TRUE,3,30,Amp,,0.81772582681435879,N,N,Y,N,N,N,N,74.304176330566406,N,,N,,N,N,
74,G2,FALSE,CR2Apal_36C_NEC2,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,Y,Y,N,Y,N,N,N,75.145515441894531,N,79.77288818359375,N,84.540473937988281,N,N,89.308067321777344
