Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,D7,FALSE,RAINBOW_RE_10,Apal,UNKNOWN,SYBR,None,Undetermined,32.845264434814453,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,Y,Y,Y,N,N,79.444961547851562,61.635623931884766,74.71435546875,85.288650512695312
44,D8,FALSE,RAINBOW_RE_10,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,Y,N,N,84.175567626953125,74.992630004882812,88.071365356445312,78.471015930175781
45,D9,FALSE,RAINBOW_RE_11,Apal,UNKNOWN,SYBR,None,33.144657135009766,32.734855651855469,0.57954412698745728,,,,,,,,FALSE,0.01,TRUE,3,31,Amp,,0.88314969888652073,N,N,N,Y,N,75.015640258789062,,,
46,D10,FALSE,RAINBOW_RE_11,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,Y,N,N,83.652099609375,79.612464904785156,88.248916625976562,64.707618713378906
47,D11,FALSE,RAINBOW_RE_11,Apal,UNKNOWN,SYBR,None,32.325057983398438,32.734855651855469,0.57954412698745728,,,,,,,,FALSE,0.01,TRUE,3,31,Amp,,0.91733788172749309,N,N,N,Y,N,74.876022338867188,,,
48,D12,FALSE,RAINBOW_RE_11,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,Y,Y,Y,N,N,87.821029663085938,90.883285522460938,75.293601989746094,65.271659851074219
49,E1,FALSE,RAINBOW_RE_12,Apal,UNKNOWN,SYBR,None,18.498481750488281,18.640176773071289,0.20038701593875885,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.50341204685891205,Y,N,N,N,N,75.017776489257812,,,
50,E2,FALSE,RAINBOW_RE_12,A,UNKNOWN,SYBR,None,23.540159225463867,23.58336067199707,0.061096072196960449,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.96769132848584438,N,N,N,N,N,87.683784484863281,,,
51,E3,FALSE,RAINBOW_RE_12,Apal,UNKNOWN,SYBR,None,18.781871795654297,18.640176773071289,0.20038701593875885,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.51634770763714033,Y,N,N,N,N,74.995986938476562,,,
52,E4,FALSE,RAINBOW_RE_12,A,UNKNOWN,SYBR,None,23.626562118530273,23.58336067199707,0.061096072196960449,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.95510089137399412,N,N,N,N,N,87.515312194824219,,,
53,E5,FALSE,CR2Apal_30C_13,Apal,UNKNOWN,SYBR,None,17.637369155883789,17.591766357421875,0.064490750432014465,,,,,,,,FALSE,0.01,TRUE,3,16,Amp,,0.59490202008362658,Y,N,N,N,N,74.981338500976562,,,
54,E6,FALSE,CR2Apal_30C_13,A,UNKNOWN,SYBR,None,22.538299560546875,22.798084259033203,0.36739239096641541,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.93639506576082931,N,N,N,N,N,87.496292114257812,,,
55,E7,FALSE,CR2Apal_30C_13,Apal,UNKNOWN,SYBR,None,17.546165466308594,17.591766357421875,0.064490750432014465,,,,,,,,FALSE,0.01,TRUE,3,16,Amp,,0.58811878888435798,Y,N,N,N,N,74.992630004882812,,,
56,E8,FALSE,CR2Apal_30C_13,A,UNKNOWN,SYBR,None,23.057870864868164,22.798084259033203,0.36739239096641541,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.9396944457015024,N,N,N,N,N,87.653961181640625,,,
57,E9,FALSE,CR2Apal_30C_32,Apal,UNKNOWN,SYBR,None,21.238954544067383,21.267013549804688,0.039680078625679016,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.56895649774009072,Y,N,N,N,N,75.154937744140625,,,
58,E10,FALSE,CR2Apal_30C_32,A,UNKNOWN,SYBR,None,25.65049934387207,25.813747406005859,0.23086896538734436,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.9631524189792372,N,N,N,N,N,87.831024169921875,,,
59,E11,FALSE,CR2Apal_30C_32,Apal,UNKNOWN,SYBR,None,21.295070648193359,21.267013549804688,0.039680078625679016,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.54696875904016384,Y,N,N,N,N,75.015213012695312,,,
60,E12,FALSE,CR2Apal_30C_32,A,UNKNOWN,SYBR,None,25.976997375488281,25.813747406005859,0.23086896538734436,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.96288179541051622,N,N,N,N,N,87.681831359863281,,,
61,F1,FALSE,CR2Apal_30C_35,Apal,UNKNOWN,SYBR,None,19.08221435546875,19.049314498901367,0.046527422964572906,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.60860896956558186,Y,N,N,N,N,75.017776489257812,,,
62,F2,FALSE,CR2Apal_30C_35,A,UNKNOWN,SYBR,None,25.796911239624023,25.761676788330078,0.049830388277769089,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.96962668767609983,N,N,N,N,N,87.683784484863281,,,
63,F3,FALSE,CR2Apal_30C_35,Apal,UNKNOWN,SYBR,None,19.016414642333984,19.049314498901367,0.046527422964572906,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.59400853551404142,Y,N,N,N,N,74.856887817382812,,,
64,F4,FALSE,CR2Apal_30C_35,A,UNKNOWN,SYBR,None,25.7264404296875,25.761676788330078,0.049830388277769089,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.95795410112476942,N,N,N,N,N,87.515312194824219,,,
65,F5,FALSE,CR2Apal_30C_65,Apal,UNKNOWN,SYBR,None,19.207630157470703,19.031745910644531,0.24873924255371094,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.58509960006695172,Y,N,N,N,N,74.981338500976562,,,
66,F6,FALSE,CR2Apal_30C_65,A,UNKNOWN,SYBR,None,25.33929443359375,25.536308288574219,0.27862101793289185,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.96038970367212961,N,N,N,N,N,87.635345458984375,,,
67,F7,FALSE,CR2Apal_30C_65,Apal,UNKNOWN,SYBR,None,18.855859756469727,19.031745910644531,0.24873924255371094,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.50101358619091263,Y,N,N,N,N,75.131767272949219,,,
