Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,D9,FALSE,CR2Apal_36C_98,Apal,UNKNOWN,SYBR,None,22.357460021972656,22.406320571899414,0.069099254906177521,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.93896596890451034,4.2870492935180664,3.877307653427124,75.1483154296875,,,,N,N,N,N
46,D10,FALSE,CR2Apal_36C_98,A,UNKNOWN,SYBR,None,26.087028503417969,26.432094573974609,0.48799711465835571,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.95746883302669539,5.589808464050293,5.1330113410949707,87.787498474121094,,,,N,N,N,N
47,D11,FALSE,CR2Apal_36C_98,Apal,UNKNOWN,SYBR,None,22.455181121826172,22.406320571899414,0.069099254906177521,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.94084948745760999,4.029961109161377,3.593308687210083,74.999717712402344,,,,N,N,N,N
48,D12,FALSE,CR2Apal_36C_98,A,UNKNOWN,SYBR,None,26.77716064453125,26.432094573974609,0.48799711465835571,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.96143424560127844,5.5304484367370605,5.0490775108337402,87.769248962402344,,,,N,N,N,N
49,E1,FALSE,CR2Apal_36C_99,Apal,UNKNOWN,SYBR,None,21.530471801757812,21.575157165527344,0.063195995986461639,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.94098680170243276,4.1770920753479004,3.7286646366119385,74.718780517578125,,,,N,N,N,N
50,E2,FALSE,CR2Apal_36C_99,A,UNKNOWN,SYBR,None,26.43409538269043,26.575572967529297,0.20007817447185516,,,,,,,,FALSE,0.10000000000000001,TRUE,3,23,Amp,,0.95975248920911538,5.484865665435791,4.9799656867980957,87.488494873046875,,,,N,N,N,N
51,E3,FALSE,CR2Apal_36C_99,Apal,UNKNOWN,SYBR,None,21.619844436645508,21.575157165527344,0.063195995986461639,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.92668607498724365,4.1586027145385742,3.693943977355957,74.984649658203125,,,,N,N,N,N
52,E4,FALSE,CR2Apal_36C_99,A,UNKNOWN,SYBR,None,26.717048645019531,26.575572967529297,0.20007817447185516,,,,,,,,FALSE,0.10000000000000001,TRUE,3,23,Amp,,0.95346502376029718,5.4446425437927246,4.9573984146118164,87.74493408203125,,,,N,N,N,N
53,E5,FALSE,CR2Apal_36C_100,Apal,UNKNOWN,SYBR,None,22.989953994750977,22.979104995727539,0.015342801809310913,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.9376869402745297,4.4410843849182129,3.9941225051879883,74.979850769042969,,,,N,N,N,N
54,E6,FALSE,CR2Apal_36C_100,A,UNKNOWN,SYBR,None,29.446853637695312,30.592243194580078,1.6198267936706543,,,,,,,,FALSE,0.10000000000000001,TRUE,3,25,Amp,,0.95315388222267838,5.1287851333618164,4.6228632926940918,87.5968017578125,,,,N,N,Y,N
